helics_simulation_time,powerRequired
1.0,-16.366718980899183
2.0,-16.362049161457467
3.0,-16.357379342015747
4.0,-16.35270952257403
5.0,-16.348039703132315
6.0,-16.3433698836906
7.0,-16.338700064248883
8.0,-16.334030244807167
9.0,-16.32936042536545
10.0,-16.32469060592373
11.0,-16.320020786482015
12.0,-16.3153509670403
13.0,-16.310681147598583
14.0,-16.306011328156867
15.0,-16.301341508715147
16.0,-16.29667168927343
17.0,-16.292001869831715
18.0,-16.28733205039
19.0,-16.282662230948283
20.0,-16.277992411506567
21.0,-16.27332259206485
22.0,-16.26865277262313
23.0,-16.263982953181415
24.0,-16.2593131337397
25.0,-16.254643314297983
26.0,-16.249973494856267
27.0,-16.245303675414547
28.0,-16.24063385597283
29.0,-16.235964036531115
30.0,-16.2312942170894
31.0,-16.226624397647683
32.0,-16.221954578205967
33.0,-16.21728475876425
34.0,-16.21261493932253
35.0,-16.207945119880815
36.0,-16.2032753004391
37.0,-16.198605480997383
38.0,-16.193935661555667
39.0,-16.189265842113947
40.0,-16.18459602267223
41.0,-16.179926203230515
42.0,-16.1752563837888
43.0,-16.170586564347083
44.0,-16.165916744905367
45.0,-16.16124692546365
46.0,-16.15657710602193
47.0,-16.151907286580215
48.0,-16.1472374671385
49.0,-16.142567647696783
50.0,-16.137897828255067
51.0,-16.133228008813347
52.0,-16.12855818937163
53.0,-16.123888369929915
54.0,-16.1192185504882
55.0,-16.114548731046483
56.0,-16.109878911604767
57.0,-16.10520909216305
58.0,-16.10053927272133
59.0,-16.095869453279615
60.0,-16.0911996338379
61.0,-16.086529814396183
62.0,-16.081859994954467
63.0,-16.077190175512747
64.0,-16.07252035607103
65.0,-16.067850536629315
66.0,-16.0631807171876
67.0,-16.058510897745883
68.0,-16.053841078304167
69.0,-16.04917125886245
70.0,-16.04450143942073
71.0,-16.039831619979015
72.0,-16.0351618005373
73.0,-16.030491981095583
74.0,-16.025822161653867
75.0,-16.021152342212147
76.0,-16.01648252277043
77.0,-16.011812703328715
78.0,-16.007142883887
79.0,-16.002473064445283
80.0,-15.997803245003565
81.0,-15.99313342556185
82.0,-15.988463606120133
83.0,-15.983793786678415
84.0,-15.9791239672367
85.0,-15.974454147794983
86.0,-15.969784328353265
87.0,-15.96511450891155
88.0,-15.960444689469833
89.0,-15.955774870028115
90.0,-15.9511050505864
91.0,-15.946435231144683
92.0,-15.941765411702965
93.0,-15.93709559226125
94.0,-15.932425772819533
95.0,-15.927755953377815
