helics_simulation_time,gridP,cooSea,T_DHWSetpoint,TimeOfDay,Occupation[1],TSetPoiZon[1],TSetPoiZonSelCon[1],Occupation[2],TSetPoiZon[2],TSetPoiZonSelCon[2],Occupation[3],TSetPoiZon[3],TSetPoiZonSelCon[3]
10.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
20.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
30.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
40.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
50.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
60.0,-1e+49,True,-1e+49,0,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49,-1e+49
70.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
80.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
90.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
100.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
110.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
120.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
130.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
140.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
150.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
160.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
170.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
180.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
190.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
200.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
210.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
220.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
230.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
240.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
250.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
260.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
270.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
280.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
290.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
300.0,-1e+49,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
310.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
320.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
330.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
340.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
350.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
360.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
370.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
380.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
390.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
400.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
410.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
420.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
430.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
440.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
450.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
460.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
470.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
480.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
490.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
500.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
510.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
520.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
530.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
540.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
550.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
560.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
570.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
580.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
590.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
600.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
610.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
620.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
630.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
640.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
650.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
660.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
670.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
680.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
690.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
700.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
710.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
720.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
730.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
740.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
750.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
760.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
770.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
780.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
790.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
800.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
810.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
820.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
830.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
840.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
850.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
860.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
870.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
880.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
890.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
900.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
910.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
920.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
930.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
940.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
950.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
960.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
970.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
980.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
990.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1000.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1010.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1020.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1030.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1040.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1050.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1060.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1070.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1080.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1090.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1100.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1110.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1120.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1130.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1140.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1150.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1160.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1170.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1180.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1190.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1200.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1210.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1220.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1230.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1240.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1250.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1260.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1270.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1280.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1290.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1300.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1310.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1320.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1330.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1340.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1350.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1360.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
