Date Time,T_ex,GHI,DHI,DNI
2013-07-18 22:00:00+00:00,20.8,0.0,0.0,0.0
2013-07-18 22:15:00+00:00,20.6,0.0,0.0,0.0
2013-07-18 22:30:00+00:00,20.6,0.0,0.0,0.0
2013-07-18 22:45:00+00:00,20.6,0.0,0.0,0.0
2013-07-18 23:00:00+00:00,20.7,0.0,0.0,0.0
2013-07-18 23:15:00+00:00,20.7,0.0,0.0,0.0
2013-07-18 23:30:00+00:00,20.7,0.0,0.0,0.0
2013-07-18 23:45:00+00:00,20.7,0.0,0.0,0.0
2013-07-19 00:00:00+00:00,20.5,0.0,0.0,0.0
2013-07-19 00:15:00+00:00,20.4,0.0,0.0,0.0
2013-07-19 00:30:00+00:00,20.3,0.0,0.0,0.0
2013-07-19 00:45:00+00:00,20.3,0.0,0.0,0.0
2013-07-19 01:00:00+00:00,20.4,0.1,0.0,0.0
2013-07-19 01:15:00+00:00,20.1,0.1,0.0,0.0
2013-07-19 01:30:00+00:00,20.2,0.1,0.0,0.0
2013-07-19 01:45:00+00:00,20.1,0.1,0.0,0.0
2013-07-19 02:00:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 02:15:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 02:30:00+00:00,19.9,0.1,0.0,0.0
2013-07-19 02:45:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 03:00:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 03:15:00+00:00,20.0,0.0,0.0,0.0
2013-07-19 03:30:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 03:45:00+00:00,20.0,0.1,0.0,0.0
2013-07-19 04:00:00+00:00,20.0,0.6,0.0,0.0
2013-07-19 04:15:00+00:00,19.9,4.1,0.0,0.0
2013-07-19 04:30:00+00:00,20.1,9.7,0.0,0.0
2013-07-19 04:45:00+00:00,20.3,17.5,16.7859435313,6.68868280215
2013-07-19 05:00:00+00:00,20.0,64.2,50.0574367079,94.8065041534
2013-07-19 05:15:00+00:00,19.9,89.8,67.0582831798,118.428458642
2013-07-19 05:30:00+00:00,20.0,88.5,72.9881274043,65.9683776645
2013-07-19 05:45:00+00:00,20.2,88.6,76.9799873765,41.7499660706
2013-07-19 06:00:00+00:00,20.3,113.8,95.8455692125,55.8644638859
2013-07-19 06:15:00+00:00,20.6,156.5,122.108693472,94.4393278759
